"filename", "language", "JSON", "C++", "CMake", "Markdown", "HTML", "Python", "XML", "GLSL", "Slang", "PostCSS", "comment", "blank", "total"
"d:\temp\Lumen\engine\include\ui\scene_hierarchy_panel.hpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 36
"d:\temp\Lumen\engine\include\ui\scene_inspector_panel.hpp", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 31
"d:\temp\Lumen\engine\include\ui\texture_view_panel.hpp", "C++", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 47, 11, 91
"d:\temp\Lumen\engine\shaders\light_debug.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\temp\Lumen\engine\shaders\light_debug.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\temp\Lumen\engine\shaders\light_icon.frag", "GLSL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"d:\temp\Lumen\engine\shaders\light_icon.vert", "GLSL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\temp\Lumen\engine\src\core\gltf_loader.cpp", "C++", 0, 636, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55, 701
"d:\temp\Lumen\engine\src\core\ktx_texture_rgba8.cpp", "C++", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 194
"d:\temp\Lumen\engine\src\core\log_ui_sink.cpp", "C++", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 67
"d:\temp\Lumen\engine\src\core\log_view_buffer.cpp", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 52
"d:\temp\Lumen\engine\src\core\logger.cpp", "C++", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 147
"d:\temp\Lumen\engine\src\core\obj_loader.cpp", "C++", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 152
"d:\temp\Lumen\engine\src\core\path.cpp", "C++", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
